10238	52900	f
16586	17573	m
44081	78135	59022
34800	92131	40466
74229	21036	95025
60749	19257	25779
		8415
71503	12208	96768
65705	31308	24679
54605	5685	41651
test_number_10	91157	76823
20819	67043	91545
26985	67572	58519
63742	45752	54294
79089	96456	14822
46659	14486	92577
51556	69515	67221
19228	65442	40231
73376	80516	99262
26634	58017	49606
90332	78719	34173
49645	39367	80259
12300	94823	166
68176	41425	53459
20102	50909	55657
73961	44843	85
26720	85062	9069
97476	96241	96450
34359	47795	72537
51168	44804	50240
62858	22627	46991
92390	80951	76313
43326	50029	24212
88025	3663	58384
77841	99434	89967
53262	43607	9831
50295	55362	46981
25859	92525	4903
82514	83934	43627
15550	67818	1752
58242	51770	91084
24009	80169	89230
25755	85185	84148
67178	14066	90322
42850	10069	74388
98262	17984	84535
96493	5207	65401
70598	55435	58108
55225	92326	95134
54645	30622	54467
23968	1019	86646
25814	88868	30936
25424	56551	84104
33730	431	1816
34014	80113	72905
84587	13431	68474
72986	82079	29062
79623	49701	76749
43228	24422	53432
18081	37377	86677
75464	88405	65935
7064	58180	25457
66120	65793	30566
98283	61335	9242
44029	59827	14974
25199	17990	59368
68570	12798	20908
17420	89238	66129
35839	73061	82369
8159	98701	63721
18396	76435	68044
96514	18773	90723
36488	1226	33514
80548	32545	2478
78154	37491	77112
23473	34617	91485
48632	98643	31466
15182	5152	66639
22691	97428	98066
79149	69448	21942
62167	62312	79992
55341	58266	24795
83879	18726	89528
15423	57097	57143
80054	90460	95016
63623	46186	79890
65432	80182	67314
18320	99989	22589
66404	81157	79983
33024	91435	93712
93184	93458	80788
39622	28465	60049
39483	16785	1558
46621	22870	81849
80467	73905	51826
97613	85337	55350
83053	87471	52861
43542	52260	94993
77695	61546	51896
8903	16284	77390
11705	9896	75792
98519	15537	18207
21549	6183	15134
13390	49915	71464
27437	80920	64540
87970	20643	35814
7527	78382	82735
30142	73519	29089
9431	69095	34635
39468	64133	15876
33681	39153	25950
37294	38188	91381
11549	34373	60410
15580	98593	71860
30073	94273	91701
173	94882	83724
13040	87500	25857
